milestone,code,sub_code,detailed_explanation
return_centre,arrived,other,The shipment / parcel have arrived at the returns processing centre
return_centre,inspection,started,The inspection of the shipment / parcel have started.
return_centre,inspection,approved,The shipment / parcel have been inspected and approved by the return centre.
return_centre,inspection,faulty_items_missing,The shipment / parcel has been inspected and items are missing that should have been included in the parcel.
return_centre,inspection,faulty_items_damaged,The shipment / parcel has been inspected and items included in the parcel are damaged.
return_centre,inspection,faulty_wrong_items,"The shipment / parcel has been inspected and the wrong items from the original order were returned, i.e. the customer registered a return for one item but returned another."
return_centre,inspection,faulty_empty,The shipment / parcel has been inspected and there are no items at all in it.
return_centre,inspection,faulty_unknown_objects,The shipment / parcel has been inspected and there are unknown objects included in it.
return_centre,inspection,faulty_other,The shipment / parcel has been inspected and there are some othe faulty with it.
return_centre,departed,other,The shipment / parcel have departed the returns processing centre
delivery,admin,other,The shipment / parcel has received an administrative update from the carrier.
delivery,out_for_delivery,other,The shipment / parcel is out for delivery.
delivery,notification,other,The carrier have notified the customer about the delivery.
delivery,notification,email,The carrier have emailed the customer with details about the delivery.
delivery,notification,text,The carrier have texted the customer with details about the delivery.
delivery,notification,voice,The carrier have called the customer with details about the delivery.
delivery,notification,letter,The carrier have sent a letter to the customer with details about the delivery.
delivery,change,address,The delivery address has been changed by the customer
delivery,change,date,The delivery date has been changed by the customer
delivery,change,service,The delivery service has been changed by the customer (e.g. from standard to express)
delivery,attempt,other,The carrier have sent a tracking event indicating a delivery attempt was made for the shipment / parcel but with out sufficient detail to determine what sub_event category it fits.
delivery,attempt,left_notice,"The delivery attempt was made, and a notice was left for the recipient to arrange re-delivery or pickup."
delivery,attempt,access_restricted,"The delivery attempt was made, but access to the address was restricted (e.g., gated community, locked building)."
delivery,attempt,recipient_no_longer_lives_here,The delivery was attempted but receiver no longer lives at the address
delivery,attempt,refused_by_recipient,The delivery was attempted but the recipient refused to take the parcel.
delivery,attempt,recipient_unavailable,"The delivery attempt was made, but there was no answer at the address (e.g. called receiver / used buzzer but nobody answered)."
delivery,attempt,no_safe_location,Delivery attempted but there was no safe location to leave the parcel.
delivery,attempt,incorrect_address,Delivery failed because the address was wrong.
delivery,attempt,due_to_security,Delivery failed because of security issues.
delivery,attempt,warehouse_closed,"The delivery attempt was made, but the warehouse was closed."
delivery,attempt,access_denied,"The delivery attempt was made, but access to the warehouse was denied."
delivery,attempt,no_receiving_staff,"The delivery attempt was made, but no receiving staff was available at the warehouse."
delivery,attempt,incorrect_address,"The delivery attempt was made, but the address was incorrect."
delivery,attempt,restricted_access_hours,The delivery attempt was made outside the warehouse's receiving hours.
delivery,attempt,partial_delivery_only,"The delivery attempt was made, but only a partial delivery could be made due to space or capacity issues."
delivery,attempt,left_notice,"The delivery attempt was made, and a notice was left for the warehouse to arrange re-delivery or pickup."
delivery,attempt,paperwork_incomplete,"The delivery attempt was made, but the necessary paperwork was incomplete."
delivery,attempt,security_check_failed,"The delivery attempt was made, but the delivery failed due to security check issues at the warehouse."
delivery,attempt,warehouse_full,"The delivery attempt was made, but the warehouse was full and unable to receive more shipments."
delivery,attempt,unresponsive_contact,"The delivery attempt was made, but the contact person at the warehouse was unresponsive."
delivery,delivered,other,The carrier have sent a tracking event indicating the shipment / parcel have been delivered but without sufficient detail to determine what sub_event category it fits.
delivery,delivered,to_depot,The shipment / parcel has been delivered to a local depot where the receiver can collect it from.
delivery,delivered,with_signature,The shipment / parcel has been delivered and signed for.
delivery,delivered,left_with_neighbor,The shipment / parcel has been left with a neighbor.
delivery,delivered,left_in_safe_place,The shipment / parcel has been left in a safe place like your porch.
delivery,delivered,parcel_locker,The shipment / parcel has been placed in a parcel locker ready for pickup.
delivery,delivered,pudo_point,The shipment / parcel have been delivered to a pickup / dropoff location.
delivery,delivered,post_office,The shipment / parcel have been delivered to a local post office.
post_delivery,collected,by_receiver,"The shipment / parcel have been collected by the receiver from its final delivery point (e.g. the receiver have collected the parcel from a locker, pudo location or similar)."
post_delivery,rating,nps,The receiver have given a NPS (Net Promoter Score) to rate their delivery experience
post_delivery,rating,other,The receiver have given a rating of their delivery experience.
return_to_sender,initiated,other,The parcel could not be delivered and the RTS (Return-to-sender) process have been initiated.
return_to_sender,initiated,damaged_label,Due to a damaged label the parcel could not be delivered and the RTS process have been initiated.
return_to_sender,initiated,undeliverable,The carrier attempted to delivery the parcel but failed and the RTS process have been initiated.
return_to_sender,initiated,not_collected,The parcel was not collected by the recipient from the PUDO points or parcel locker and the RTS process have been initiated.
return_to_sender,in_transit,held_waiting_for_instructions,The parcel is being held at the local depot awaiting further instructions.
return_to_sender,in_transit,preparing_for_return,The parcel is being prepared to be returned to the sender.
return_to_sender,in_transit,return_in_transit,The parcel is in transit back to the sender.
return_to_sender,customs_clearance,customs_check,The parcel is undergoing customs clearance procedures.
return_to_sender,carrier_facility,return_depot,The parcel has arrived at the carrier's return depot.
return_to_sender,delivery,returned_to_sender,The parcel has been successfully returned to the sender.
admin,other,other,A general administrative update from the carrier.
exception,delivery,other,The carrier have sent a tracking event indicating the shipment / parcel have had a delivery exception but without sufficient detail to determine what sub_event category it fits.
exception,delivery,pudo_unavailable,The shipment / parcel could not be delivered to the PUDO location because it was unavailable.
exception,delivery,seized_by_law_enforcement,The shipment / parcel was seized by law enforcement.
exception,shipment_rejected,oversized,The parcel is too large to be delivered with the selected carrier service.
exception,shipment_rejected,duplicate_label,The shipment / parcel was rejected because the label was a duplicate of another shipment / parcel.
exception,shipment_rejected,data_error,The shipment / parcel was rejected due to an error in the data we sent them.
exception,shipment_rejected,bad_packaging,The shipment / parcel was rejected because it was poorly packaged.
exception,shipment_rejected,hazmat,The shipment / parcel was rejected because it contains hazardous materials.
exception,shipment_rejected,other,The shipment / parcel delivery was rejected for another unnamed reason.
exception,delay,due_to_weather,The shipment / parcel delivery is delayed because of bad weather.
exception,delay,due_to_sender,The shipment / parcel delivery is delayed because of the sender.
exception,delay,due_to_recipient,The shipment / parcel delivery is delayed because of the recipient.
exception,delay,due_to_misroute,The shipment / parcel was accidentally sent in the wrong direction by the carrier and this cause a delay.
exception,delay,other,The shipment / parcel delivery is delayed for some other reason.
exception,damage_loss,parcel_damaged,The shipment / parcel got damaged while being delivered.
exception,damage_loss,parcel_destroyed,The shipment / parcel was destroyed during delivery.
exception,damage_loss,lost_in_transit,The shipment / parcel got lost during delivery.
exception,carrier_hub,other,An exception occurred at the carrier hub but without sufficient detail to determine what type of exception it is.
exception,held_at_hub,hazmat_not_accepted,The shipment / parcel is held at a hub because it contains hazardous materials that are not accepted by the carrier.
exception,held_at_hub,bad_address,The shipment / parcel is held at a hub because the address is incorrect.
exception,held_at_hub,missing_information,The shipment / parcel is held at a hub because it is missing some information.
exception,held_at_hub,prohibited_items,The shipment / parcel is held because it has something that is not allowed.
exception,held_at_hub,other,The shipment / parcel is held at a hub for some other reason.
exception,destroyed,other,The shipment / parcel was destroyed by the carrier for some reason.
in_transit,departure_airport,other,The carrier has sent a tracking event acknowledging that the shipment / parcel is at the origin airport but without sufficient detail to determine what sub_event category it fits.
in_transit,departure_airport,en_route,The shipment / parcel is enroute to the departure (origin) airport for an international flight.
in_transit,departure_airport,handed_over,The shipment / parcel have been handed over to an airline from where it will depart the origin country. This event is typically triggered from the carrier side to denote they have left the parcel with the airline at the airport.
in_transit,departure_airport,take_off,The shipment / parcel have departed the airport in the origin country (i.e. the flight itself have taken off).
in_transit,stopover_airport,other,The carrier has sent a tracking event acknowledging that the shipment / parcel is at a stopover airport but without sufficient detail to determine what sub_event category it fits.
in_transit,stopover_airport,landing,The shipment / parcel have arrived at a stopover airport (i.e. the flight itself have landed).
in_transit,stopover_airport,take_off,The shipment / parcel have departed the stopover airport (i.e. the flight itself have taken off).
in_transit,destination_airport,other,The carrier has sent a tracking event acknowledging that the shipment / parcel is at the destination airport but without sufficient detail to determine what sub_event category it fits.
in_transit,destination_airport,landing,The shipment / parcel have arrived at the final airport (i.e. the flight itself have landed).
in_transit,destination_airport,collected,The shipment / parcel have been collected at the destination airport.
in_transit,departure_seaport,other,The carrier has sent a tracking event acknowledging that the shipment / parcel is at the origin sea port but without sufficient detail to determine what sub_event category it fits.
in_transit,departure_seaport,en_route,The shipment / parcel is enroute to the departure (origin) sea port for an international voyage.
in_transit,departure_seaport,handed_over,The shipment / parcel have been unloaded at the sea port / handed over to an shipping company from where it will depart the origin country. This event is typically triggered from the carrier side to denote they have left the parcel with the shipping company at the port.
in_transit,departure_seaport,loaded_onto_vessel,The shipment / parcel have been loaded onto a naval vessel and is ready to set sail.
in_transit,departure_seaport,set_sail,The shipment / parcel have departed the sea port in the origin country (i.e. the naval vessel itself have set sail).
in_transit,stopover_seaport,other,The carrier has sent a tracking event acknowledging that the shipment / parcel is at a stopover sea port but without sufficient detail to determine what sub_event category it fits.
in_transit,stopover_seaport,docked,The shipment / parcel have arrived at a stopover sea port.
in_transit,stopover_seaport,set_sail,The shipment / parcel have sailed from the stopover sea port.
in_transit,destination_seaport,other,The carrier has sent a tracking event acknowledging that the shipment / parcel is at the destination sea port but without sufficient detail to determine what sub_event category it fits.
in_transit,destination_seaport,docked,The shipment / parcel have arrived at the destination (final) sea port.
in_transit,destination_seaport,unloaded,The shipment / parcel have been collected at the destination sea port
in_transit,destination_seaport,collected,The shipment / parcel have been collected at the destination sea port
customs,broker,other,The carrier has sent a tracking event acknowledging that the shipment / parcel is with a customs broker but without sufficient detail to determine what sub_event category it fits.
customs,broker,arrived,The shipment / parcel have arrived at the customs broker facility.
customs,broker,departed,The shipment / parcel have departed the customs broker facility.
customs,broker,ready_for_export,The shipment / parcel is ready for export.
customs,in_progress,initiated,Customs clearance process has been initiated.
customs,in_progress,awaiting_documentation,Customs are waiting for required documents to clear the parcel.
customs,in_progress,documentation_submitted,The required documents have been submitted to customs.
customs,in_progress,additional_information_provided,The additional information requested by customs has been provided.
customs,in_progress,under_inspection,The parcel is being inspected by customs.
customs,in_progress,valuation_under_review,Customs are reviewing the declared value of the parcel.
customs,in_progress,valuation_approved,The declared value of the parcel has been approved by customs.
customs,in_progress,valuation_adjusted,The declared value of the parcel has been adjusted by customs.
customs,in_progress,duty_taxes_paid,Customs duty and taxes have been paid.
customs,in_progress,compliance_check,The parcel is undergoing compliance checks.
customs,in_progress,re_export_pending,The parcel is pending re-export.
customs,in_progress,re_export_completed,The parcel has been re-exported from the country.
customs,held,other,The parcel is being held by customs for further checks for another reason.
customs,held,additional_information_requested,Customs have requested additional information to process the parcel.
customs,held,pending_duty_taxes_payment,Payment of customs duty and taxes is required.
customs,held,certificate_of_origin,The parcel is held at customs due to missing / invalid certification of origin.
customs,held,incomplete_documentation,The parcel is held at customs due to incomplete documentation.    
customs,held,missing_documentation,The parcel is held at customs due to missing documents or information.
customs,held,subject_to_restrictions,The parcel is held at customs due to restrictions on export / import of the item.
customs,held,prohibited_items,The parcel is held at customs because it contains prohibited items.
customs,held,incorrect_valuation,The parcel is held due to incorrect valuation declared.
customs,exception,other,Any other unspecified customs issue.
customs,exception,delay,The clearance process is delayed due to customs issues.
customs,exception,release_failed,The parcel failed to clear customs for unknown reasons.
customs,finalising,compliance_approved,The parcel has passed compliance checks.
customs,finalising,release_pending,The parcel is awaiting release after successful inspection or documentation verification.
customs,cleared,released,The parcel has been released from customs and is ready for further transit.
customs,special_cases,destroy_pending,The parcel is pending destruction due to non-compliance.
customs,special_cases,destroy_completed,The parcel has been destroyed due to non-compliance.
